language_slug,fragmentation_ratio_content_mean,fragmentation_ratio_overall_mean
UD_Indonesian-GSD,1.4870772580422786,1.4176732732722133
UD_Polish-PDB,2.1067526849488787,1.902575795953031
UD_Vietnamese-VTB,1.4688802455898655,1.4067601261020894
UD_Korean-GSD,2.5843741948517613,2.4033232732088314
UD_Greek-GDT,2.724872527491356,2.491954861067458
UD_English-EWT,1.8917477792910236,1.9227811933597676
UD_Russian-SynTagRus,1.9868930300174203,1.7782445881556503
UD_Basque-BDT,2.097075582169305,1.9131403765408757
UD_Spanish-AnCora,1.3447408531803249,1.2956063619553542
UD_Finnish-TDT,2.443811650519438,2.233831824939356
UD_Urdu-UDTB,1.8209550893083348,1.7758039175237474
UD_Hungarian-Szeged,2.2543302132581204,2.070755657612347
UD_Hindi-HDTB,1.8765464077083627,1.809877260165938
UD_Turkish-IMST,2.3551234038921094,2.0746244222295744
UD_Bulgarian-BTB,2.036498993412527,1.873964423737574
UD_Japanese-GSD,1.571161509759769,1.4964182877424779
UD_Czech-PDTC,2.0652982397311788,1.9077900790787201
UD_German-GSD,1.5684579369045273,1.5014809123381405
UD_Persian-Seraji,1.6051140284801466,1.5365443755751953
UD_French-GSD,1.3738233602574044,1.3262805995027034
UD_Chinese-GSD,1.599640879848995,1.51500297218544
UD_Arabic-PADT,1.847261945635586,1.7871120298974474
UD_Hebrew-HTB,1.8075241814907903,1.7102142560090032
